target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,VIP,236670,0,1,1,0.7306227599,31.551912568,5.1203158919,0,0,2.5449734262,372
0,2NDFL,elementary,,57907,0,0,,,27.126027397,2.7643835616,,,6.9561643836,382
0,2NDFL,elementary,,26322,0,0,1,4.4076836918,33.98630137,13.539726027,1,1,10.424657534,384
0,2NDFL,beginner,,,0,1,0,0.279905914,32.191690995,5.2575342466,0,0,9.9397260274,389
0,OTHER,elementary,Corporate,72981,0,1,0,21.173767921,35.909589041,9.4657534247,1,1,7.7780821918,390
0,OTHER,advanced,Corporate,29667,0,1,,,49.204476383,14.785298301,,,4.1147540984,393
0,OTHER,advanced,Corporate,27311,0,1,1,0.9863351254,30.592506924,1.0692192529,0,0,7.0856576091,395
0,OTHER,elementary,Corporate,50569,0,1,1,0.7632168459,26.602986751,0.412568306,0,0,4.1994535519,396
0,2NDFL,elementary,,43500,0,0,1,0.7260304659,47.680013474,1.3813833371,2,2,2.6580956658,398
0,2NDFL,elementary,,82662,0,0,,,32.205479452,4.4246575342,,,6.3808219178,411
0,OTHER,beginner,Corporate,194097,0,1,0,0.9934587814,28.038251366,4.0054644809,0,0,4.1557377049,412
0,OTHER,elementary,Corporate,56862,0,1,0,21,40.620375777,15.391780822,0,0,9.7315068493,414
0,OTHER,elementary,,30000,0,0,0,1.6056227599,33.742465753,1.3543378995,1,1,9.9342465753,419
0,2NDFL,elementary,,83002,0,0,0,0.5377688172,37.384953964,5.4068717718,0,0,11.371255333,427
0,2NDFL,beginner,,87000,0,0,0,14.597603047,38.970252264,14.989430347,1,1,9.6113481548,428
0,OTHER,advanced,Corporate,14199,0,1,0,6.7000448029,40.521940265,6.719200539,0,0,9.927419717,431
0,OTHER,advanced,Corporate,22151,0,1,,,35.008219178,5.9479452055,,,4.3199790403,432
0,OTHER,elementary,Corporate,95960,0,1,1,0.7291218638,30.356164384,1.8630136986,0,0,9.0745265364,439
0,OTHER,elementary,Corporate,95960,0,1,1,0.7291218638,30.356164384,1.8630136986,0,0,9.0745265364,440
0,2NDFL,high,,39672,0,0,1,1.0867159498,38.381705217,13.362527135,0,0,5.039239464,449
0,OTHER,elementary,Corporate,60243,0,1,,,25.10830152,0.8869900442,,,5.0263343065,455
0,OTHER,advanced,Corporate,31145,0,1,,,31.180821918,0.6377722883,,,5.9589041096,469
0,2NDFL,elementary,,43761,0,0,0,0.7270609319,26.389767198,1.4610000749,0,0,6.0363425406,472
0,OTHER,high,Corporate,39126,0,1,0,4.9887544803,38.941118347,10.009611498,0,0,11.540983607,474
0,2NDFL,advanced,,55301,0,0,0,,52.079234973,6.3736432368,0,0,6.9188487162,480
0,OTHER,advanced,,35000,0,0,0,,51.37380792,15.81147541,0,0,6.2368216184,481
0,OTHER,elementary,Corporate,187238,0,1,,,31.868493151,4.6760236545,,,11.8,482
0,OTHER,beginner,Corporate,53382,0,1,0,56.145116487,51.520547945,1.5184070664,1,1,5.8082191781,486
0,2NDFL,elementary,,35094,0,0,0,2.1877464158,53.537076128,0.718579235,1,1,8.393442623,487
0,OTHER,advanced,Corporate,47236,0,1,1,0.6984094982,34.388240138,5.5444045213,0,0,8.1338797814,489
0,OTHER,elementary,,20000,0,0,1,1.2475582437,35.56284153,2.3989969309,0,0,2.7715996706,491
0,2NDFL,elementary,,59260,0,0,1,1.1851030466,37.379474512,2.4918032787,0,1,11.846994536,495
0,OTHER,elementary,,100000,0,0,0,0.9568324373,32.841821993,4.9020959653,1,1,11.288397335,496
0,OTHER,elementary,,50000,0,0,0,,53.244876113,3.8606557377,,,8.0983606557,500
0,OTHER,elementary,Corporate,22023,0,1,,,35.720547945,6.3863013699,,,10.821917808,507
0,OTHER,elementary,Corporate,42184,0,1,0,0.863015233,27.023856576,2.2074182199,0,0,6.8430346583,514
0,2NDFL,elementary,,274379,0,1,1,7.3128360215,38.356164384,0.3559473014,1,1,7.0383561644,515
0,2NDFL,elementary,,274379,0,1,1,7.3128360215,38.356164384,0.3559473014,1,1,7.0383561644,517
0,OTHER,elementary,Corporate,95089,0,1,0,,38.393517479,7.6994535519,0,1,9.5907777528,519
0,OTHER,elementary,Corporate,90927,0,1,0,0.9924731183,35.077438431,0.5573770492,0,0,11.036342541,520
0,2NDFL,elementary,,82209,0,0,1,-0.750403226,45.335077476,3.298630137,2,2,0.2657534247,522
0,OTHER,elementary,Corporate,30375,0,0,,,32.972250917,2.8575342466,,,11.117808219,525
0,2NDFL,advanced,,38602,0,0,0,0.5439964158,36.9707014,6.9232876712,1,1,11.884931507,532
0,OTHER,elementary,VIP,190090,0,1,2,0.8859543011,32.081967213,2.2833969609,0,0,11.017643536,545
0,OTHER,advanced,Corporate,20428,0,1,0,,39.320937196,0.693989071,0,0,11.260663223,546
0,OTHER,beginner,Corporate,94128,0,1,0,2.1183691756,36.97311176,3.8739726027,1,1,13.668493151,548
0,OTHER,elementary,Corporate,65911,0,1,1,0.7609767025,36.978808294,2.0692192529,1,1,9.4473014447,550
0,OTHER,elementary,Corporate,42037,0,1,0,1.0573252688,30.682281608,0.2950819672,0,0,3.0439254435,551
0,OTHER,advanced,Corporate,14568,0,1,,,27.611048731,0.2950819672,,,4.4617486339,552
0,OTHER,advanced,Corporate,47557,0,1,,,52.532786885,0.5765027322,,,7.4031289767,554
0,OTHER,beginner,,293500,0,0,1,1.5377240143,41.556890486,3.2390822666,0,0,11.36784939,568
0,OTHER,advanced,Corporate,26806,0,1,,,28.407410734,0.6150610076,,,4.5003069092,569
0,OTHER,advanced,Corporate,28297,0,1,0,15.467921147,31.263013699,4.2876712329,1,1,10.18630137,570
0,OTHER,advanced,Corporate,25930,0,1,,,31.68579235,1.7080544951,,,9.8779175088,571
0,OTHER,elementary,Corporate,100170,0,1,1,0.8283378136,31.909836066,3.6994535519,0,0,7.9808743169,573
0,OTHER,elementary,Corporate,54193,0,1,,,37.292349727,6.4896100007,,,13.108788083,579
0,2NDFL,elementary,,39807,0,0,,,37.756725803,8.4344262295,,,6.4580956658,584
0,OTHER,elementary,Corporate,75433,0,1,1,0.4773521505,28.06557377,0.5,0,0,1.2450407965,593
0,OTHER,advanced,Corporate,44190,0,1,0,6.6045922939,30.539486489,9.4216782693,0,0,10.183322105,597
0,OTHER,elementary,Corporate,89354,0,1,,,42.717808219,2.3342465753,,,5.6849315068,598
0,2NDFL,elementary,,12220,0,0,0,6,26.778082192,0.5750430421,2,3,5.5178082192,600
0,2NDFL,elementary,,129765,0,0,0,16.638799283,28.505464481,9.3293285426,0,0,5.1156299124,602
0,2NDFL,advanced,,24419,0,0,0,15.05125448,55.367123288,9.095890411,1,1,9.1945205479,606
0,2NDFL,elementary,,116433,0,0,1,1.1463933692,29.928332959,3.4098360656,1,1,9.3831274796,609
0,2NDFL,elementary,,109921,0,0,0,17.800179211,33.809259675,0.3415300546,0,0,10.705150086,620
0,OTHER,advanced,Corporate,102312,0,1,0,,33.00303915,1.2630136986,0,0,11.106849315,622
0,2NDFL,elementary,,41217,0,0,1,0.4991263441,39.145205479,7.002739726,1,1,9.165528857,633
0,2NDFL,advanced,,20030,0,0,,,33.244239838,10.643835616,,,9.8383561644,638
0,2NDFL,advanced,,50687,0,0,1,1.0808915771,33.072400629,7.0849315068,1,1,0.6871547272,645
0,2NDFL,elementary,,,0,1,2,0.5009184588,27.114424732,1.5116850064,0,0,3.9590163934,651
0,2NDFL,advanced,,19245,0,0,,,39.791780822,5.8109589041,,,11.120547945,658
0,2NDFL,elementary,,99443,0,0,1,0.984453405,35.797814208,3.2829178831,0,0,9.6582603488,671
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,672
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,673
0,OTHER,elementary,Corporate,130065,0,1,1,0.4981182796,30.239561344,1.5601092896,0,0,9.2751777828,674
0,2NDFL,elementary,,67304,0,0,,,32.793412681,2.1726027397,,,10.504109589,676
0,2NDFL,beginner,Corporate,34473,0,1,0,,32.596257205,3.2811887117,,,9.1551613145,677
